listing,price,brand,size
"ON 34TH Redelle Small Crossbody, Created for Macy's",40.0,On 34th,Size: OS
DIOR Book Tote Bag Velour Black,4080.0,Dior,Size: OS
Certificate of Authenticity (COA) from Authentic Detective,40.0,,Size: 1 COA
"Lululemon-Leather Alternative Mini Bag 1.2L-Black-NWT
          
      NWT",95.0,lululemon athletica,Size: OS
"Harley Quinn x Batman Clutch – Red, Black & White",14.0,DC Comics,Size: OS
"Victoria's Secret Fashion Show Silver Metallic Cross Body Purse w/ Tassel NWT
          
      NWT",26.0,Victoria's Secret,Size: OS
"Brahmin Katie Spellbound Cross Body NWOT
          
      NWT",225.0,Brahmin,Size: OS
MICHAEL Kors grey patent leather tote bag with chain detail handles,30.0,Michael Kors,Size: OS
"Kate Spade Small Wallet Slim Butterfly Card Holder
          
      NWT",58.0,kate spade,
Betty Boop Wristlet by Nahui Ollin,8.0,,Size: OS
Barnes & Noble Black canvas Tote bag with Gold Accents,20.0,Barnes & Noble,Size: OS
Naturalizer Black and White Striped Leather Shoulder Purse Retro,29.0,Naturalizer,Size: OS
Herschel Supply Company Small Dawson Blue Backpack Stylish and Functional,30.0,Herschel Supply Company,Size: OS
Elegant Vintage Brown Cobra Snakeskin Purse | Crossbody Bag,60.0,Source Unknown,Size: OS
Vera Bradley Purse,30.0,Vera Bradley,Size: OS
Patricia Nash Ledra Safflower Blue Tooled Leather Crossbody Bucket Bag,110.0,Patricia Nash,"Size: 9""×8""×4"""
Auth Louis Vuitton Monogram Compiegne 23 M51847 Clutch Bag NS040426,470.0,Louis Vuitton,Size: OS
Vintage Dooney & Bourke Y2K rainbow zipper coated canvas  accordion wallet,45.0,Dooney & Bourke,Size: OS
Oscar de la Renta Small Travel Purse Size Vinyl Cosmetics Zippered Bag - EUC,16.0,Oscar de la Renta,Size: OS
Marc Jacobs Chartreuse key/ card holder,40.0,Marc Jacobs,Size: OS
"New Rebecca Minkoff Elegant White Envelope Clutch
          
      NWT",100.0,Rebecca Minkoff,Size: OS
"NWT Kate Spade Shore Street Margareta Champagne Tote Bag in Pink
          
      Boutique",198.0,kate spade,Size: OS
"MCM Mini Cubic Monogram Shoulder Bag Purse New
          
      NWT",679.0,MCM,Size: OS
"Nautica Black Tote Purse Brand New
          
      NWT",90.0,Nautica,Size: OS
Valentino Garavani Leather Travel Bag,120.0,Valentino Garavani,Size: OS
"Botkier New York Bond Black Nylon Compartment Tote Handbag 11.5”L x 12”H x 7.5”D
          
      NWT",39.0,Botkier,Size: 11.5”L x 12”H x 7.5”D
HTF COLOR COACH ACCORDION ZIP WALLET,115.0,Coach,Size: 7 3/4”L x 4”H
